product_id,product_name,category,retail_price,cost_price,launch_date,supplier
P00001,TechPro X1,Laptops & Computers,1032.96,805.71,2022-10-09,Supplier_8
P00002,CompuMax Pro 15,Laptops & Computers,861.71,672.13,2022-04-15,Supplier_18
P00003,TechPro Ultra Thin,Laptops & Computers,1073.68,837.47,2023-03-09,Supplier_2
P00004,TechPro X1,Laptops & Computers,1309.76,1021.61,2022-08-12,Supplier_8
P00005,TechPro Ultra Thin,Laptops & Computers,835.85,651.96,2022-07-23,Supplier_18
P00006,PowerStation Pro 15,Laptops & Computers,835.85,651.96,2023-04-05,Supplier_19
P00007,EliteBook X1,Laptops & Computers,1324.91,1033.43,2022-06-13,Supplier_14
P00008,EliteBook Gaming Elite,Laptops & Computers,1105.98,862.66,2022-06-09,Supplier_7
P00009,EliteBook X1,Laptops & Computers,772.38,602.46,2022-04-05,Supplier_13
P00010,TechPro Gaming Elite,Laptops & Computers,1045.33,815.36,2022-12-19,Supplier_20
P00011,EliteBook X1,Laptops & Computers,774.02,603.74,2023-04-16,Supplier_18
P00012,TechPro Business Series,Laptops & Computers,773.39,603.24,2022-03-22,Supplier_18
P00013,EliteBook Ultra Thin,Laptops & Computers,964.26,752.12,2023-01-06,Supplier_19
P00014,CompuMax X1,Laptops & Computers,399.0,311.22,2022-02-16,Supplier_8
P00015,EliteBook X1,Laptops & Computers,433.79,338.36,2022-08-27,Supplier_4
P00016,PowerStation Gaming Elite,Laptops & Computers,747.35,582.93,2023-04-10,Supplier_12
P00017,CompuMax Gaming Elite,Laptops & Computers,625.84,488.16,2022-12-30,Supplier_7
P00018,EliteBook X1,Laptops & Computers,983.75,767.33,2023-09-16,Supplier_6
P00019,CompuMax Pro 15,Laptops & Computers,654.11,510.21,2023-04-19,Supplier_13
P00020,EliteBook Ultra Thin,Laptops & Computers,518.1,404.12,2022-08-13,Supplier_11
P00021,TechPro Pro 15,Laptops & Computers,1294.29,1009.55,2022-02-02,Supplier_11
P00022,PowerStation Gaming Elite,Laptops & Computers,838.11,653.73,2022-03-09,Supplier_7
P00023,EliteBook Pro 15,Laptops & Computers,917.21,715.42,2023-11-03,Supplier_16
P00024,PowerStation Business Series,Laptops & Computers,514.75,401.5,2022-05-27,Supplier_9
P00025,CompuMax Pro 15,Laptops & Computers,752.18,586.7,2023-07-29,Supplier_18
P00026,ConnectPro Power Bank,Mobile & Accessories,153.96,84.68,2023-02-13,Supplier_12
P00027,MobiTech Screen Protector,Mobile & Accessories,97.55,53.65,2023-06-06,Supplier_16
P00028,PhoneGuard Wireless Charger,Mobile & Accessories,165.79,91.18,2022-04-23,Supplier_5
P00029,MobiTech Car Mount,Mobile & Accessories,122.15,67.18,2023-09-03,Supplier_3
P00030,ConnectPro Car Mount,Mobile & Accessories,135.96,74.78,2023-09-03,Supplier_15
P00031,PowerCell Power Bank,Mobile & Accessories,122.1,67.16,2022-01-12,Supplier_4
P00032,PowerCell Phone Case,Mobile & Accessories,231.8,127.49,2022-04-25,Supplier_10
P00033,ConnectPro Screen Protector,Mobile & Accessories,148.4,81.62,2023-04-10,Supplier_1
P00034,PowerCell Power Bank,Mobile & Accessories,101.72,55.95,2022-07-02,Supplier_17
P00035,PhoneGuard Phone Case,Mobile & Accessories,185.77,102.17,2023-10-17,Supplier_17
P00036,MobiTech Screen Protector,Mobile & Accessories,94.43,51.94,2023-01-18,Supplier_6
P00037,PhoneGuard Power Bank,Mobile & Accessories,158.34,87.09,2022-11-28,Supplier_16
P00038,PhoneGuard Wireless Charger,Mobile & Accessories,61.4,33.77,2023-01-07,Supplier_10
P00039,MobiTech Wireless Charger,Mobile & Accessories,89.63,49.3,2022-09-04,Supplier_19
P00040,PhoneGuard Wireless Charger,Mobile & Accessories,157.8,86.79,2023-05-13,Supplier_3
P00041,MobiTech Screen Protector,Mobile & Accessories,182.01,100.11,2023-11-07,Supplier_16
P00042,MobiTech Phone Case,Mobile & Accessories,156.66,86.16,2023-06-25,Supplier_20
