customer_id,registration_date,customer_segment,acquisition_channel,total_orders,total_spent,last_order_date
C000001,2023-01-02,New,Organic Search,21.0,9631.28,2025-07-31
C000002,2025-03-24,New,Paid Search,0.0,0.0,
C000003,2023-01-02,New,Paid Search,35.0,22945.95,2025-08-06
C000004,2024-07-01,New,Organic Search,1.0,1013.36,2022-11-24
C000005,2025-06-07,VIP,Email Marketing,1.0,343.72,2022-06-03
C000006,2025-09-09,New,Organic Search,0.0,0.0,
C000007,2024-09-26,Returning,Referral,0.0,0.0,
C000008,2025-01-26,VIP,Email Marketing,0.0,0.0,
C000009,2025-08-29,New,Organic Search,0.0,0.0,
C000010,2024-06-10,New,Email Marketing,3.0,2052.42,2024-05-17
C000011,2023-01-02,New,Organic Search,24.0,18249.18,2025-07-13
C000012,2025-07-31,Returning,Referral,0.0,0.0,
C000013,2023-10-16,New,Email Marketing,10.0,3355.67,2025-09-10
C000014,2025-09-22,Returning,Social Media,0.0,0.0,
C000015,2025-04-25,New,Organic Search,0.0,0.0,
C000016,2024-07-27,New,Paid Search,2.0,952.75,2023-05-11
C000017,2023-12-05,Returning,Organic Search,3.0,1471.25,2024-05-16
C000018,2025-08-16,VIP,Direct,0.0,0.0,
C000019,2024-07-21,New,Paid Search,0.0,0.0,
C000020,2023-01-02,Returning,Organic Search,31.0,19724.25,2025-09-05
C000021,2025-06-19,New,Email Marketing,0.0,0.0,
C000022,2024-12-04,VIP,Organic Search,0.0,0.0,
C000023,2025-06-01,Returning,Social Media,0.0,0.0,
C000024,2023-10-21,Returning,Organic Search,8.0,5403.15,2025-01-22
C000025,2024-09-19,New,Email Marketing,1.0,961.53,2024-11-19
C000026,2023-06-16,Returning,Social Media,11.0,6433.15,2025-08-27
C000027,2025-04-12,VIP,Organic Search,1.0,783.5,2025-03-17
C000028,2025-09-27,New,Paid Search,0.0,0.0,
C000029,2025-01-29,Returning,Referral,0.0,0.0,
C000030,2025-06-28,Returning,Organic Search,0.0,0.0,
C000031,2025-01-23,New,Social Media,1.0,224.58,2022-07-14
C000032,2024-09-02,Returning,Email Marketing,0.0,0.0,
C000033,2025-01-12,Returning,Direct,0.0,0.0,
C000034,2025-06-18,VIP,Referral,0.0,0.0,
C000035,2025-01-28,VIP,Social Media,0.0,0.0,
C000036,2024-02-28,Returning,Email Marketing,3.0,2575.28,2025-02-06
C000037,2024-08-21,VIP,Email Marketing,2.0,582.26,2025-04-06
C000038,2024-06-18,New,Social Media,0.0,0.0,
C000039,2024-04-12,New,Email Marketing,2.0,2417.17,2025-05-31
C000040,2023-01-02,VIP,Referral,33.0,28117.31,2025-09-11
C000041,2023-08-06,Returning,Referral,9.0,6593.92,2025-09-06
C000042,2023-02-10,Returning,Referral,30.0,19598.07,2025-09-14
C000043,2024-11-22,VIP,Email Marketing,1.0,635.32,2025-07-30
C000044,2025-05-24,New,Organic Search,0.0,0.0,
C000045,2025-05-12,New,Organic Search,0.0,0.0,
C000046,2025-03-29,Returning,Social Media,0.0,0.0,
C000047,2024-11-24,New,Direct,0.0,0.0,
C000048,2025-04-19,New,Paid Search,0.0,0.0,
C000049,2023-08-25,Returning,Organic Search,4.0,1556.63,2024-11-04
C000050,2025-08-06,Returning,Referral,0.0,0.0,
C000051,2025-05-23,Returning,Paid Search,0.0,0.0,
C000052,2023-09-23,VIP,Paid Search,9.0,4336.14,2024-10-04
C000053,2025-09-27,Returning,Email Marketing,0.0,0.0,
C000054,2024-09-10,Returning,Direct,0.0,0.0,
C000055,2023-07-16,New,Email Marketing,13.0,6257.04,2025-06-02
C000056,2024-11-17,Returning,Direct,0.0,0.0,
C000057,2025-05-06,New,Direct,0.0,0.0,
C000058,2025-05-28,Returning,Direct,0.0,0.0,
C000059,2025-06-15,New,Direct,1.0,1259.31,2022-07-17
C000060,2024-12-21,New,Referral,0.0,0.0,
C000061,2025-06-05,VIP,Email Marketing,0.0,0.0,
C000062,2023-11-25,New,Direct,5.0,4502.28,2025-08-21
C000063,2024-12-19,Returning,Email Marketing,0.0,0.0,
C000064,2025-08-08,VIP,Paid Search,0.0,0.0,
C000065,2025-05-09,Returning,Social Media,0.0,0.0,
C000066,2025-03-02,New,Referral,1.0,951.6,2024-09-29
C000067,2025-07-16,New,Organic Search,0.0,0.0,
C000068,2024-07-30,New,Paid Search,1.0,225.75,2023-12-24
C000069,2025-07-28,New,Direct,0.0,0.0,
C000070,2025-08-24,New,Referral,0.0,0.0,
C000071,2025-06-01,VIP,Referral,0.0,0.0,
C000072,2024-10-18,Returning,Email Marketing,2.0,1420.7,2024-01-06
C000073,2024-11-28,New,Direct,2.0,646.36,2025-07-25
C000074,2025-09-23,New,Referral,0.0,0.0,
C000075,2025-08-23,New,Direct,0.0,0.0,
C000076,2024-07-12,Returning,Paid Search,1.0,143.63,2023-10-08
C000077,2024-04-20,Returning,Email Marketing,2.0,1381.39,2024-08-24
C000078,2025-07-21,Returning,Paid Search,0.0,0.0,
C000079,2024-10-14,Returning,Paid Search,0.0,0.0,
C000080,2025-06-10,New,Social Media,1.0,620.87,2022-09-27
C000081,2025-01-16,VIP,Referral,2.0,1000.43,2025-05-29
C000082,2024-08-04,Returning,Paid Search,1.0,2136.01,2025-04-29
C000083,2025-09-19,Returning,Social Media,0.0,0.0,
C000084,2024-02-17,Returning,Social Media,2.0,2807.02,2023-10-28
C000085,2024-09-17,Returning,Social Media,1.0,180.87,2024-05-17
C000086,2024-01-10,Returning,Organic Search,5.0,2987.61,2025-02-28
C000087,2023-01-02,VIP,Email Marketing,31.0,24154.31,2025-08-13
C000088,2025-06-04,New,Direct,0.0,0.0,
C000089,2025-09-22,New,Social Media,0.0,0.0,
C000090,2025-05-02,Returning,Referral,0.0,0.0,
C000091,2023-11-18,New,Paid Search,2.0,2000.09,2023-08-01
C000092,2025-06-10,Returning,Paid Search,1.0,388.12,2024-08-17
C000093,2024-07-20,Returning,Referral,2.0,996.92,2022-04-28
C000094,2025-09-14,Returning,Referral,0.0,0.0,
C000095,2025-05-31,New,Organic Search,1.0,777.22,2024-01-06
C000096,2024-11-26,Returning,Social Media,0.0,0.0,
C000097,2025-03-18,New,Direct,1.0,161.1,2025-06-08
C000098,2024-12-01,New,Referral,2.0,1139.03,2025-05-03
C000099,2024-05-25,New,Direct,1.0,1352.16,2022-01-19
C000100,2023-06-02,Returning,Organic Search,10.0,6795.83,2025-09-19
C000101,2025-05-11,VIP,Organic Search,0.0,0.0,
C000102,2025-09-08,VIP,Social Media,0.0,0.0,
C000103,2025-08-25,New,Direct,0.0,0.0,
C000104,2024-08-12,Returning,Paid Search,2.0,750.07,2024-05-15
C000105,2024-09-29,Returning,Social Media,2.0,583.57,2025-03-29
C000106,2024-10-27,Returning,Referral,1.0,118.04,2022-01-16
C000107,2024-05-07,Returning,Organic Search,0.0,0.0,
C000108,2025-08-16,VIP,Paid Search,0.0,0.0,
C000109,2025-09-07,Returning,Referral,0.0,0.0,
C000110,2024-05-29,Returning,Social Media,0.0,0.0,
C000111,2025-08-14,New,Paid Search,0.0,0.0,
C000112,2023-12-06,VIP,Direct,6.0,4245.0,2025-07-20
C000113,2025-08-27,Returning,Paid Search,0.0,0.0,
C000114,2025-03-28,VIP,Paid Search,0.0,0.0,
C000115,2025-08-29,New,Social Media,0.0,0.0,
C000116,2024-11-15,VIP,Direct,0.0,0.0,
C000117,2024-01-26,VIP,Organic Search,1.0,97.26,2025-03-22
C000118,2024-11-05,New,Email Marketing,0.0,0.0,
C000119,2025-08-28,Returning,Direct,0.0,0.0,
C000120,2024-07-10,New,Social Media,0.0,0.0,
C000121,2025-08-16,Returning,Referral,0.0,0.0,
C000122,2025-03-23,Returning,Email Marketing,0.0,0.0,
C000123,2025-08-13,New,Organic Search,1.0,49.03,2022-06-13
C000124,2024-05-19,Returning,Email Marketing,2.0,2247.61,2025-05-30
C000125,2023-01-02,New,Organic Search,19.0,17021.27,2025-06-09
C000126,2025-08-28,Returning,Referral,0.0,0.0,
C000127,2023-01-02,New,Referral,23.0,13849.25,2025-09-01
C000128,2025-09-12,VIP,Direct,0.0,0.0,
C000129,2023-02-28,VIP,Email Marketing,20.0,15893.14,2025-08-13
C000130,2024-12-08,VIP,Paid Search,0.0,0.0,
C000131,2025-07-24,New,Organic Search,0.0,0.0,
C000132,2024-10-03,Returning,Organic Search,0.0,0.0,
C000133,2023-04-12,VIP,Direct,15.0,9420.92,2024-11-23
C000134,2025-02-19,Returning,Paid Search,0.0,0.0,
C000135,2025-07-14,Returning,Paid Search,0.0,0.0,
C000136,2025-06-25,New,Referral,0.0,0.0,
C000137,2023-01-02,VIP,Direct,32.0,27518.2,2025-07-28
C000138,2025-09-17,New,Referral,0.0,0.0,
C000139,2024-01-24,Returning,Referral,0.0,0.0,
C000140,2025-08-07,New,Direct,0.0,0.0,
C000141,2023-01-02,Returning,Organic Search,28.0,18823.47,2025-08-02
C000142,2025-03-15,VIP,Paid Search,0.0,0.0,
C000143,2024-12-10,New,Organic Search,0.0,0.0,
C000144,2024-03-29,Returning,Organic Search,3.0,3231.1,2024-04-28
C000145,2025-04-09,Returning,Organic Search,0.0,0.0,
C000146,2023-01-02,Returning,Referral,22.0,20714.22,2025-08-13
C000147,2025-09-05,New,Organic Search,0.0,0.0,
C000148,2025-09-23,New,Email Marketing,1.0,223.5,2024-12-27
C000149,2024-01-26,VIP,Direct,0.0,0.0,
C000150,2023-04-21,Returning,Referral,8.0,4421.71,2025-09-27
C000151,2023-01-02,Returning,Organic Search,24.0,26111.63,2025-09-03
C000152,2025-06-20,New,Organic Search,0.0,0.0,
C000153,2023-01-02,Returning,Direct,23.0,20998.79,2025-06-11
C000154,2023-08-22,Returning,Paid Search,6.0,8244.23,2025-09-27
C000155,2025-04-20,New,Paid Search,0.0,0.0,
C000156,2025-01-20,Returning,Social Media,0.0,0.0,
C000157,2025-01-03,VIP,Direct,1.0,494.19,2025-01-03
C000158,2023-01-02,New,Social Media,25.0,14101.11,2025-08-23
C000159,2025-03-24,New,Referral,0.0,0.0,
C000160,2024-10-10,Returning,Social Media,2.0,1536.52,2024-11-01
C000161,2023-05-30,Returning,Paid Search,13.0,6302.49,2025-09-09
C000162,2025-04-24,Returning,Direct,1.0,480.32,2024-07-31
C000163,2024-12-07,New,Paid Search,1.0,925.92,2025-01-18
C000164,2025-04-25,Returning,Email Marketing,0.0,0.0,
C000165,2025-05-22,Returning,Organic Search,0.0,0.0,
C000166,2023-01-02,New,Organic Search,29.0,21838.23,2025-08-19
C000167,2025-01-24,New,Referral,0.0,0.0,
C000168,2023-01-02,Returning,Referral,29.0,30241.3,2025-08-12
C000169,2025-07-05,Returning,Social Media,1.0,422.42,2022-02-11
C000170,2025-08-31,New,Social Media,0.0,0.0,
C000171,2025-08-05,Returning,Email Marketing,0.0,0.0,
C000172,2025-04-27,VIP,Social Media,1.0,111.13,2023-11-27
C000173,2025-01-07,VIP,Referral,1.0,387.05,2023-05-27
C000174,2025-07-13,New,Referral,0.0,0.0,
C000175,2025-04-27,New,Direct,0.0,0.0,
C000176,2025-08-26,New,Organic Search,0.0,0.0,
C000177,2025-04-21,VIP,Organic Search,0.0,0.0,
C000178,2025-01-16,Returning,Organic Search,0.0,0.0,
C000179,2025-08-24,Returning,Direct,0.0,0.0,
C000180,2025-08-28,VIP,Referral,0.0,0.0,
C000181,2025-09-28,VIP,Organic Search,0.0,0.0,
C000182,2024-11-01,VIP,Direct,0.0,0.0,
C000183,2025-06-22,Returning,Direct,1.0,72.25,2023-06-23
C000184,2025-02-14,Returning,Direct,1.0,2430.22,2024-03-31
C000185,2025-08-01,New,Social Media,0.0,0.0,
